NORDEMP,n_anios,anio_min,anio_max,anios_observados_txt,anios_faltantes_txt
143033,11,2010,2021,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021",2017
143043,8,2010,2018,"2010,2012,2013,2014,2015,2016,2017,2018",2011
143060,4,2010,2014,"2010,2011,2012,2014",2013
143070,14,2010,2024,"2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2014
143093,12,2010,2022,"2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022",2014
143125,13,2010,2024,"2010,2011,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2012,2013"
143138,14,2010,2024,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
143142,14,2010,2024,"2010,2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2013
143147,4,2011,2015,"2011,2013,2014,2015",2012
143148,2,2011,2013,"2011,2013",2012
143157,4,2010,2014,"2010,2012,2013,2014",2011
143178,12,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022",2019
143181,2,2010,2013,"2010,2013","2011,2012"
143186,13,2011,2024,"2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
143200,4,2010,2014,"2010,2011,2012,2014",2013
143207,14,2010,2024,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
143230,14,2010,2024,"2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",2016
143231,5,2010,2015,"2010,2012,2013,2014,2015",2011
143249,4,2011,2015,"2011,2013,2014,2015",2012
143252,13,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2022,2023"
143253,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2023,2024","2020,2021,2022"
143255,10,2010,2020,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020",2011
143266,6,2010,2017,"2010,2012,2013,2014,2016,2017","2011,2015"
143303,14,2010,2024,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2011
143368,12,2010,2024,"2010,2011,2013,2014,2015,2016,2017,2018,2021,2022,2023,2024","2012,2019,2020"
143408,12,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2024","2021,2022,2023"
143434,14,2010,2024,"2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
143446,5,2010,2015,"2010,2012,2013,2014,2015",2011
143451,2,2010,2013,"2010,2013","2011,2012"
143458,6,2010,2016,"2010,2011,2012,2014,2015,2016",2013
143487,5,2010,2016,"2010,2011,2012,2013,2016","2014,2015"
143500,9,2011,2020,"2011,2013,2014,2015,2016,2017,2018,2019,2020",2012
143551,5,2010,2015,"2010,2011,2013,2014,2015",2012
143571,5,2010,2015,"2010,2012,2013,2014,2015",2011
143576,10,2010,2021,"2010,2011,2012,2013,2015,2016,2017,2018,2020,2021","2014,2019"
143578,10,2010,2021,"2010,2011,2012,2015,2016,2017,2018,2019,2020,2021","2013,2014"
143582,3,2010,2013,"2010,2011,2013",2012
143600,10,2010,2024,"2010,2011,2012,2013,2014,2015,2018,2022,2023,2024","2016,2017,2019,2020,2021"
143638,13,2010,2024,"2010,2011,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2012,2013"
143641,14,2010,2024,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2011
143649,14,2010,2024,"2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
143658,14,2010,2024,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2011
143673,8,2010,2018,"2010,2011,2012,2013,2014,2015,2016,2018",2017
143716,14,2010,2024,"2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024",2018
143767,13,2011,2024,"2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2013
143769,14,2010,2024,"2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
143819,5,2012,2018,"2012,2013,2014,2015,2018","2016,2017"
143829,9,2010,2019,"2010,2012,2013,2014,2015,2016,2017,2018,2019",2011
143831,2,2010,2012,"2010,2012",2011
143876,4,2010,2014,"2010,2012,2013,2014",2011
143887,11,2010,2022,"2010,2011,2012,2013,2014,2015,2016,2017,2020,2021,2022","2018,2019"
143957,15,2009,2024,"2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
143989,6,2009,2015,"2009,2010,2012,2013,2014,2015",2011
143990,11,2009,2021,"2009,2010,2011,2014,2015,2016,2017,2018,2019,2020,2021","2012,2013"
143999,4,2009,2014,"2009,2010,2013,2014","2011,2012"
144001,7,2009,2016,"2009,2010,2011,2013,2014,2015,2016",2012
144002,4,2011,2016,"2011,2012,2013,2016","2014,2015"
144028,6,2009,2016,"2009,2010,2011,2012,2015,2016","2013,2014"
144033,15,2009,2024,"2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
144045,13,2009,2023,"2009,2010,2011,2012,2013,2016,2017,2018,2019,2020,2021,2022,2023","2014,2015"
144046,10,2009,2019,"2009,2010,2011,2012,2013,2014,2016,2017,2018,2019",2015
144054,9,2009,2018,"2009,2010,2011,2012,2014,2015,2016,2017,2018",2013
144083,13,2009,2024,"2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2011,2022,2023"
144094,6,2009,2015,"2009,2010,2011,2013,2014,2015",2012
144126,14,2009,2023,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023",2021
144157,14,2010,2024,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
144163,8,2009,2017,"2009,2011,2012,2013,2014,2015,2016,2017",2010
144176,15,2009,2024,"2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2014
144178,15,2009,2024,"2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2014
144196,10,2010,2024,"2010,2011,2012,2015,2016,2017,2018,2022,2023,2024","2013,2014,2019,2020,2021"
144198,6,2009,2015,"2009,2010,2011,2013,2014,2015",2012
144209,15,2009,2024,"2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2012
144211,15,2009,2024,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",2023
144225,13,2009,2022,"2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",2010
144226,13,2009,2024,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2023,2024","2020,2021,2022"
144239,4,2010,2015,"2010,2013,2014,2015","2011,2012"
