fuente,anio,archivo_zip,archivo_dta,variable,label_dta
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R17C1,Arrendamiento sin opción  de compra de maquinaria y equipo - producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R17C2,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ve
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R17C3,Total Arrendamiento sin opción  de compra de maquinaria y equipo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R18C1,Seguros - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R18C2,Seguros - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R18C3,Total Seguros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R21C1,Servicio de agua  - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R21C2,Servicio de agua - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R21C3,Total Servicio de agua
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R36C1,Servicios de comunicaciones -Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R36C2,Servicios de comunicaciones - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R36C3,Total Servicios de comunicaciones
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R22C1,Propaganda y publicidad - producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R22C2,Propaganda y publicidad - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R22C3,Total Propaganda y publicidad
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R25C2,Impuesto del 4 x 1 000
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R25C3,Total Impuesto del 4 x 1 000
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R23C1,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R23C2,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R23C3,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R42C1,Costos y gastos de transporte de materias primas - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R42C2,Costos y gastos de transporte de materias primas - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R42C3,Total Costos y gastos de transporte de materias primas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R24C1,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - produc"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R24C2,"Utilización de : derechos de autor, franquicias, marcas, patentes,etc. - Adminis"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R24C3,"Total Utilización de : derechos de autor, franquicias, marcas, patentes,etc."
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R37C1,Impuestos de industria y comercio - producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R37C2,Impuestos de industria y comercio - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R37C3,Total Impuestos de industria y comercio
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R38C2,Impuesto predial y sobre vehículos - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R38C3,Total Impuesto predial y sobre vehículos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R26C2,"Gastos para provisión de cartera, inventarios y otros - Administración y ventas"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R26C3,"Total Gastos para provisión de cartera, inventarios y otros"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R31C2,Intereses causados sobre préstamos - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R31C3,Total Intereses causados sobre préstamos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R27C1,Otros costos y gastos no incluidos antes - Producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R27C2,Otros costos y gastos no incluidos antes -  Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R27C3,Total Otros costos y gastos no incluidos antes
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R46C2,Gastos financieros - Administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R46C3,Total Gastos financieros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R35C1,Total Costos y gastos de producción
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R35C2,Total Gastos de administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R35C3,Total costos de producción administración y ventas
EAM,2008,EAM_2008.zip,EAM_2008.dta,C5R1C1,Energía comprada (KWH)
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R19C3,Valor Energía comprada
EAM,2008,EAM_2008.zip,EAM_2008.dta,C5R1C2,Energía autogenerada (Kwh)
EAM,2008,EAM_2008.zip,EAM_2008.dta,C5R1C3,Cantidad de energía Vendida (Kwh)
EAM,2008,EAM_2008.zip,EAM_2008.dta,C5R1C5,Valor de la Energía vendida
EAM,2008,EAM_2008.zip,EAM_2008.dta,C5R1C4,Total Energía consumida (KWH)
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R1C1,"Existencias Materias primas, materiales y empaques - al final del año anterior"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R1C3,"Existencias Materias primas, materiales y empaques - al final del año actual"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R2C1,Existencias Productos en proceso - al final del año anterior
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R2C3,Existencias Productos en proceso - al final del año actual
EAM,2008,EAM_2008.zip,EAM_2008.dta,C6R3C1,Existencias  Productos terminados  - al final del año anterior
