termino,anio,beta,ee,ic_inf,ic_sup,muestra,outcome,medida
ANIO_F::2024:bite_de,2024,-1.0248852634447867,1.0606716449440607,-3.1038016875351455,1.0540311606455721,comun,empleo_permanente,bite_de
ANIO_F::2015:exposure_de,2015,-1.8012187689915604,1.1067296754030713,-3.97040893278158,0.3679713947984593,comun,empleo_temporal,exposure_de
ANIO_F::2016:exposure_de,2016,-3.1246906240675334,0.9441652890040904,-4.975254590515551,-1.2741266576195163,comun,empleo_temporal,exposure_de
ANIO_F::2017:exposure_de,2017,-2.871614068627884,0.9513847877269445,-4.7363282525726955,-1.0068998846830728,comun,empleo_temporal,exposure_de
ANIO_F::2018:exposure_de,2018,-1.5659503250606948,0.8396603002526523,-3.211684513555893,0.07978386343450361,comun,empleo_temporal,exposure_de
ANIO_F::2019:exposure_de,2019,-1.9765707723170658,0.9874657432822946,-3.9120036291503633,-0.04113791548376833,comun,empleo_temporal,exposure_de
ANIO_F::2021:exposure_de,2021,0.08666779246991008,0.6408576560970686,-1.169413213480344,1.3427487984201645,comun,empleo_temporal,exposure_de
referencia,2022,0,0,0,0,comun,empleo_temporal,exposure_de
ANIO_F::2023:exposure_de,2023,-1.6651738655191561,0.6714703493791608,-2.9812557503023114,-0.3490919807360009,comun,empleo_temporal,exposure_de
ANIO_F::2024:exposure_de,2024,-0.8602495760928361,0.8494477023748265,-2.5251670727474957,0.8046679205618237,comun,empleo_temporal,exposure_de
ANIO_F::2015:bite_de,2015,5.395962979287381,1.4499914278783967,2.553979780645723,8.23794617792904,comun,empleo_temporal,bite_de
ANIO_F::2016:bite_de,2016,5.104074332377529,1.248520108713013,2.656974919300023,7.551173745455035,comun,empleo_temporal,bite_de
ANIO_F::2017:bite_de,2017,4.695460055895646,1.224548238402406,2.2953455086269305,7.095574603164362,comun,empleo_temporal,bite_de
ANIO_F::2018:bite_de,2018,3.53382630574558,1.0347101281960105,1.5057944544813995,5.561858157009761,comun,empleo_temporal,bite_de
ANIO_F::2019:bite_de,2019,2.8690898828930393,0.8897256857436309,1.1252275388355228,4.612952226950556,comun,empleo_temporal,bite_de
ANIO_F::2021:bite_de,2021,1.3872933067689472,0.6297981698134824,0.15288889393452187,2.6216977196033726,comun,empleo_temporal,bite_de
referencia,2022,0,0,0,0,comun,empleo_temporal,bite_de
ANIO_F::2023:bite_de,2023,0.08574808700018544,0.7408550528339546,-1.3663278165543655,1.5378239905547364,comun,empleo_temporal,bite_de
ANIO_F::2024:bite_de,2024,0.23254184609590123,0.9026692511466243,-1.5366898861514824,2.001773578343285,comun,empleo_temporal,bite_de
ANIO_F::2015:exposure_de,2015,-0.48691165817777005,0.5119184347071555,-1.4902717902037947,0.5164484738482548,comun,participacion_permanente,exposure_de
ANIO_F::2016:exposure_de,2016,-0.21688487326567185,0.4810122196023792,-1.159668823686335,0.7258990771549914,comun,participacion_permanente,exposure_de
ANIO_F::2017:exposure_de,2017,-0.0067271863486121075,0.4596429078518297,-0.9076272857381984,0.8941729130409741,comun,participacion_permanente,exposure_de
ANIO_F::2018:exposure_de,2018,0.01274605626898756,0.4277387089931444,-0.8256218133575755,0.8511139258955507,comun,participacion_permanente,exposure_de
ANIO_F::2019:exposure_de,2019,0.3997800798822326,0.3881528286776433,-0.36099946432594826,1.1605596240904135,comun,participacion_permanente,exposure_de
ANIO_F::2021:exposure_de,2021,-0.11686321667177305,0.2423714647689247,-0.5919112876188655,0.35818485427531943,comun,participacion_permanente,exposure_de
referencia,2022,0,0,0,0,comun,participacion_permanente,exposure_de
ANIO_F::2023:exposure_de,2023,0.7325110309995746,0.25056096948811485,0.24141153080286948,1.2236105311962797,comun,participacion_permanente,exposure_de
ANIO_F::2024:exposure_de,2024,0.2726401015282558,0.2982617199938067,-0.31195286965960534,0.8572330727161169,comun,participacion_permanente,exposure_de
ANIO_F::2015:bite_de,2015,-4.224971035716834,0.561821123379066,-5.326140437539803,-3.123801633893865,comun,participacion_permanente,bite_de
ANIO_F::2016:bite_de,2016,-4.058482921791791,0.5195694918366638,-5.076839125791652,-3.0401267177919298,comun,participacion_permanente,bite_de
ANIO_F::2017:bite_de,2017,-3.274728897182296,0.5091438593166461,-4.272650861442923,-2.27680693292167,comun,participacion_permanente,bite_de
ANIO_F::2018:bite_de,2018,-2.7533550068052914,0.46426540016714096,-3.6633151911328876,-1.8433948224776953,comun,participacion_permanente,bite_de
ANIO_F::2019:bite_de,2019,-2.0254311827916687,0.43292161579651967,-2.873957549752847,-1.1769048158304902,comun,participacion_permanente,bite_de
ANIO_F::2021:bite_de,2021,-0.9522108395152977,0.28697309696917117,-1.5146781095748731,-0.3897435694557222,comun,participacion_permanente,bite_de
referencia,2022,0,0,0,0,comun,participacion_permanente,bite_de
