NORDEST,n_anios,n_dptos_distintos,secuencia,patron,anio_cambio,dpto_antes,dpto_despues
143689,15,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
143814,15,2,2010:5 | 2011:5 | 2012:5 | 2013:5 | 2014:5 | 2015:5 | 2016:66 | 2017:66 | 2018:66 | 2019:66 | 2020:66 | 2021:66 | 2022:66 | 2023:66 | 2024:66,cambio_sostenido,2016,5,66
143896,10,2,2009:11 | 2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25,cambio_sostenido,2012,11,25
143911,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2021,11,25
143953,16,2,2009:76 | 2010:76 | 2011:76 | 2012:52 | 2013:52 | 2014:52 | 2015:52 | 2016:52 | 2017:52 | 2018:52 | 2019:52 | 2020:52 | 2021:52 | 2022:52 | 2023:52 | 2024:52,cambio_sostenido,2012,76,52
143983,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2018,11,25
143985,16,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2022,11,25
144001,16,2,2009:50 | 2010:50 | 2011:50 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:50 | 2020:50 | 2021:50 | 2022:50 | 2023:50 | 2024:50,patron_irregular,NA,NA,NA
144031,15,2,2009:11 | 2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25,cambio_sostenido,2016,11,25
144466,8,2,2009:11 | 2010:5 | 2011:5 | 2012:5 | 2013:5 | 2014:5 | 2015:5 | 2016:5,cambio_sostenido,2010,11,5
144477,16,2,2009:11 | 2010:11 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2011,11,25
144572,8,2,2009:11 | 2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25,cambio_sostenido,2010,11,25
