variable,label_dta,descripcion_diccionario,descripcion_final,aparece_en_anios
C6R1C3,"Existencias Materias primas, materiales y empaques - al final del año actual",NA,"Existencias Materias primas, materiales y empaques - al final del año actual",17
C6R2C1,Existencias Productos en proceso - al final del año anterior,NA,Existencias Productos en proceso - al final del año anterior,17
C6R2C3,Existencias Productos en proceso - al final del año actual,NA,Existencias Productos en proceso - al final del año actual,17
C6R3C1,Existencias  Productos terminados  - al final del año anterior,NA,Existencias  Productos terminados  - al final del año anterior,17
C6R3C3,Existencias  Productos terminados  - al final del año actual,NA,Existencias  Productos terminados  - al final del año actual,17
C6R4C1,Existencias Productos no fabricados por el establecimiento  - al final del año a,NA,Existencias Productos no fabricados por el establecimiento  - al final del año a,17
C6R4C3,Existencias Productos no fabricados por el establecimiento  - al final del año a,NA,Existencias Productos no fabricados por el establecimiento  - al final del año a,17
C6R5C1,Total Inventarios al final del año anterior-,NA,Total Inventarios al final del año anterior-,17
C6R5C3,Total Inventarios al final del año actual,NA,Total Inventarios al final del año actual,17
C7C1R12,Valor en libros de los activos vendidos - Terrenos,NA,Valor en libros de los activos vendidos - Terrenos,17
C7C1R19,Leasing Financiero - Terrenos,NA,Leasing Financiero - Terrenos,13
C7C1R3,Valor compra de activos - usados - Terrenos,NA,Valor compra de activos - usados - Terrenos,17
C7C2R11,Retiros  causados - Edificios y estructuras,NA,Retiros  causados - Edificios y estructuras,17
C7C2R12,Valor en libros de los activos vendidos - Edificios y estructuras,NA,Valor en libros de los activos vendidos - Edificios y estructuras,17
C7C2R13,Depreciación acumulada de los activos vendidos - Edificios y estructuras,NA,Depreciación acumulada de los activos vendidos - Edificios y estructuras,17
C7C2R19,Leasing Financiero - Edificios y estructuras,NA,Leasing Financiero - Edificios y estructuras,13
C7C2R2,Valor compra de activos - nuevos - Edificios y estructuras,NA,Valor compra de activos - nuevos - Edificios y estructuras,17
C7C2R3,Valor compra de activos - usados - Edificios y estructuras,NA,Valor compra de activos - usados - Edificios y estructuras,17
C7C2R4,Costos y gastos de Producidos o construidos para uso propio - Edificios y estruc,NA,Costos y gastos de Producidos o construidos para uso propio - Edificios y estruc,17
C7C2R5,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indu,NA,Valor causado en el año por la maquinaria en montaje - Maquinaria y equipo Indu,17
C7C2R7,Valor causado por  mejoras y reformas a los activos  - Edificios y estructuras,NA,Valor causado por  mejoras y reformas a los activos  - Edificios y estructuras,17
C7C3R11,Retiros  causados - Maquinaria y equipo Industrial,NA,Retiros  causados - Maquinaria y equipo Industrial,17
C7C3R12,Valor en libros de los activos vendidos - Maquinaria y equipo Industrial,NA,Valor en libros de los activos vendidos - Maquinaria y equipo Industrial,17
