fuente,variable,presencia_en_archivos
EAM,c3r13c3_13,1
EAM,c3r13c3_14,1
EAM,c3r13c3_15,1
EAM,c3r13c3_16,1
EAM,c3r13c3_17,1
EAM,c3r13c3_18,1
EAM,c3r13c3_19,1
EAM,c3r13c3_2,1
EAM,c3r13c3_20,1
EAM,c3r13c3_21,1
EAM,c3r13c3_22,1
EAM,c3r13c3_23,1
EAM,c3r13c3_24,1
EAM,c3r13c3_25,1
EAM,c3r13c3_26,1
EAM,c3r13c3_27,1
EAM,c3r13c3_28,1
EAM,c3r13c3_29,1
EAM,c3r13c3_3,1
EAM,c3r13c3_30,1
EAM,c3r13c3_31,1
EAM,c3r13c3_32,1
EAM,c3r13c3_33,1
EAM,c3r13c3_34,1
EAM,c3r13c3_35,1
EAM,c3r13c3_36,1
EAM,c3r13c3_37,1
EAM,c3r13c3_38,1
EAM,c3r13c3_39,1
EAM,c3r13c3_4,1
EAM,c3r13c3_40,1
EAM,c3r13c3_41,1
EAM,c3r13c3_42,1
EAM,c3r13c3_5,1
EAM,c3r13c3_6,1
EAM,c3r13c3_7,1
EAM,c3r13c3_8,1
EAM,c3r13c3_9,1
EAM,c3r14c1,1
EAM,c3r14c1_10,1
EAM,c3r14c1_11,1
EAM,c3r14c1_12,1
EAM,c3r14c1_13,1
EAM,c3r14c1_14,1
EAM,c3r14c1_15,1
EAM,c3r14c1_16,1
EAM,c3r14c1_17,1
EAM,c3r14c1_18,1
EAM,c3r14c1_19,1
EAM,c3r14c1_2,1
EAM,c3r14c1_20,1
EAM,c3r14c1_21,1
EAM,c3r14c1_22,1
EAM,c3r14c1_23,1
EAM,c3r14c1_24,1
EAM,c3r14c1_25,1
EAM,c3r14c1_26,1
EAM,c3r14c1_27,1
EAM,c3r14c1_28,1
EAM,c3r14c1_29,1
EAM,c3r14c1_3,1
EAM,c3r14c1_30,1
EAM,c3r14c1_31,1
EAM,c3r14c1_32,1
EAM,c3r14c1_33,1
EAM,c3r14c1_34,1
EAM,c3r14c1_35,1
EAM,c3r14c1_36,1
EAM,c3r14c1_37,1
EAM,c3r14c1_38,1
EAM,c3r14c1_39,1
EAM,c3r14c1_4,1
EAM,c3r14c1_40,1
EAM,c3r14c1_41,1
EAM,c3r14c1_42,1
EAM,c3r14c1_5,1
EAM,c3r14c1_6,1
EAM,c3r14c1_7,1
EAM,c3r14c1_8,1
EAM,c3r14c1_9,1
EAM,c3r14c3,1
EAM,c3r14c3_10,1
EAM,c3r14c3_11,1
EAM,c3r14c3_12,1
EAM,c3r14c3_13,1
EAM,c3r14c3_14,1
EAM,c3r14c3_15,1
EAM,c3r14c3_16,1
EAM,c3r14c3_17,1
EAM,c3r14c3_18,1
EAM,c3r14c3_19,1
EAM,c3r14c3_2,1
EAM,c3r14c3_20,1
EAM,c3r14c3_21,1
EAM,c3r14c3_22,1
EAM,c3r14c3_23,1
EAM,c3r14c3_24,1
EAM,c3r14c3_25,1
EAM,c3r14c3_26,1
EAM,c3r14c3_27,1
EAM,c3r14c3_28,1
EAM,c3r14c3_29,1
EAM,c3r14c3_3,1
EAM,c3r14c3_30,1
EAM,c3r14c3_31,1
EAM,c3r14c3_32,1
EAM,c3r14c3_33,1
EAM,c3r14c3_34,1
EAM,c3r14c3_35,1
EAM,c3r14c3_36,1
EAM,c3r14c3_37,1
EAM,c3r14c3_38,1
EAM,c3r14c3_39,1
EAM,c3r14c3_4,1
EAM,c3r14c3_40,1
EAM,c3r14c3_41,1
EAM,c3r14c3_42,1
EAM,c3r14c3_5,1
EAM,c3r14c3_6,1
EAM,c3r14c3_7,1
EAM,c3r14c3_8,1
EAM,c3r14c3_9,1
EAM,c3r15c1,1
EAM,c3r15c1_10,1
EAM,c3r15c1_11,1
EAM,c3r15c1_12,1
EAM,c3r15c1_13,1
EAM,c3r15c1_14,1
EAM,c3r15c1_15,1
EAM,c3r15c1_16,1
EAM,c3r15c1_17,1
EAM,c3r15c1_18,1
EAM,c3r15c1_19,1
EAM,c3r15c1_2,1
EAM,c3r15c1_20,1
EAM,c3r15c1_21,1
EAM,c3r15c1_22,1
EAM,c3r15c1_23,1
EAM,c3r15c1_24,1
EAM,c3r15c1_25,1
EAM,c3r15c1_26,1
EAM,c3r15c1_27,1
EAM,c3r15c1_28,1
EAM,c3r15c1_29,1
EAM,c3r15c1_3,1
EAM,c3r15c1_30,1
EAM,c3r15c1_31,1
EAM,c3r15c1_32,1
EAM,c3r15c1_33,1
EAM,c3r15c1_34,1
EAM,c3r15c1_35,1
EAM,c3r15c1_36,1
EAM,c3r15c1_37,1
EAM,c3r15c1_38,1
EAM,c3r15c1_39,1
EAM,c3r15c1_4,1
EAM,c3r15c1_40,1
EAM,c3r15c1_41,1
EAM,c3r15c1_42,1
EAM,c3r15c1_5,1
EAM,c3r15c1_6,1
EAM,c3r15c1_7,1
EAM,c3r15c1_8,1
EAM,c3r15c1_9,1
EAM,c3r15c2,1
EAM,c3r15c2_10,1
EAM,c3r15c2_11,1
EAM,c3r15c2_12,1
EAM,c3r15c2_13,1
EAM,c3r15c2_14,1
EAM,c3r15c2_15,1
EAM,c3r15c2_16,1
EAM,c3r15c2_17,1
EAM,c3r15c2_18,1
EAM,c3r15c2_19,1
EAM,c3r15c2_2,1
EAM,c3r15c2_20,1
EAM,c3r15c2_21,1
EAM,c3r15c2_22,1
EAM,c3r15c2_23,1
EAM,c3r15c2_24,1
EAM,c3r15c2_25,1
EAM,c3r15c2_26,1
EAM,c3r15c2_27,1
EAM,c3r15c2_28,1
EAM,c3r15c2_29,1
EAM,c3r15c2_3,1
EAM,c3r15c2_30,1
EAM,c3r15c2_31,1
EAM,c3r15c2_32,1
EAM,c3r15c2_33,1
EAM,c3r15c2_34,1
EAM,c3r15c2_35,1
EAM,c3r15c2_36,1
EAM,c3r15c2_37,1
EAM,c3r15c2_38,1
EAM,c3r15c2_39,1
EAM,c3r15c2_4,1
EAM,c3r15c2_40,1
EAM,c3r15c2_41,1
EAM,c3r15c2_42,1
EAM,c3r15c2_5,1
EAM,c3r15c2_6,1
EAM,c3r15c2_7,1
EAM,c3r15c2_8,1
EAM,c3r15c2_9,1
EAM,c3r15c3,1
EAM,c3r15c3_10,1
EAM,c3r15c3_11,1
EAM,c3r15c3_12,1
EAM,c3r15c3_13,1
EAM,c3r15c3_14,1
EAM,c3r15c3_15,1
EAM,c3r15c3_16,1
EAM,c3r15c3_17,1
EAM,c3r15c3_18,1
EAM,c3r15c3_19,1
EAM,c3r15c3_2,1
EAM,c3r15c3_20,1
EAM,c3r15c3_21,1
EAM,c3r15c3_22,1
EAM,c3r15c3_23,1
EAM,c3r15c3_24,1
EAM,c3r15c3_25,1
EAM,c3r15c3_26,1
EAM,c3r15c3_27,1
EAM,c3r15c3_28,1
EAM,c3r15c3_29,1
EAM,c3r15c3_3,1
EAM,c3r15c3_30,1
EAM,c3r15c3_31,1
EAM,c3r15c3_32,1
EAM,c3r15c3_33,1
EAM,c3r15c3_34,1
EAM,c3r15c3_35,1
EAM,c3r15c3_36,1
EAM,c3r15c3_37,1
EAM,c3r15c3_38,1
EAM,c3r15c3_39,1
EAM,c3r15c3_4,1
EAM,c3r15c3_40,1
EAM,c3r15c3_41,1
EAM,c3r15c3_42,1
EAM,c3r15c3_5,1
EAM,c3r15c3_6,1
EAM,c3r15c3_7,1
EAM,c3r15c3_8,1
EAM,c3r15c3_9,1
EAM,c3r16c1,1
EAM,c3r16c1_10,1
EAM,c3r16c1_11,1
EAM,c3r16c1_12,1
EAM,c3r16c1_13,1
EAM,c3r16c1_14,1
EAM,c3r16c1_15,1
EAM,c3r16c1_16,1
EAM,c3r16c1_17,1
EAM,c3r16c1_18,1
EAM,c3r16c1_19,1
EAM,c3r16c1_2,1
EAM,c3r16c1_20,1
EAM,c3r16c1_21,1
EAM,c3r16c1_22,1
EAM,c3r16c1_23,1
EAM,c3r16c1_24,1
EAM,c3r16c1_25,1
EAM,c3r16c1_26,1
EAM,c3r16c1_27,1
EAM,c3r16c1_28,1
EAM,c3r16c1_29,1
EAM,c3r16c1_3,1
EAM,c3r16c1_30,1
EAM,c3r16c1_31,1
EAM,c3r16c1_32,1
EAM,c3r16c1_33,1
EAM,c3r16c1_34,1
EAM,c3r16c1_35,1
EAM,c3r16c1_36,1
EAM,c3r16c1_37,1
EAM,c3r16c1_38,1
EAM,c3r16c1_39,1
EAM,c3r16c1_4,1
EAM,c3r16c1_40,1
EAM,c3r16c1_41,1
EAM,c3r16c1_42,1
EAM,c3r16c1_5,1
EAM,c3r16c1_6,1
EAM,c3r16c1_7,1
EAM,c3r16c1_8,1
EAM,c3r16c1_9,1
EAM,c3r16c2,1
EAM,c3r16c2_10,1
EAM,c3r16c2_11,1
EAM,c3r16c2_12,1
EAM,c3r16c2_13,1
EAM,c3r16c2_14,1
EAM,c3r16c2_15,1
EAM,c3r16c2_16,1
EAM,c3r16c2_17,1
EAM,c3r16c2_18,1
EAM,c3r16c2_19,1
EAM,c3r16c2_2,1
EAM,c3r16c2_20,1
EAM,c3r16c2_21,1
EAM,c3r16c2_22,1
EAM,c3r16c2_23,1
EAM,c3r16c2_24,1
EAM,c3r16c2_25,1
EAM,c3r16c2_26,1
EAM,c3r16c2_27,1
EAM,c3r16c2_28,1
EAM,c3r16c2_29,1
EAM,c3r16c2_3,1
EAM,c3r16c2_30,1
EAM,c3r16c2_31,1
EAM,c3r16c2_32,1
EAM,c3r16c2_33,1
EAM,c3r16c2_34,1
EAM,c3r16c2_35,1
EAM,c3r16c2_36,1
EAM,c3r16c2_37,1
EAM,c3r16c2_38,1
EAM,c3r16c2_39,1
EAM,c3r16c2_4,1
EAM,c3r16c2_40,1
EAM,c3r16c2_41,1
EAM,c3r16c2_42,1
EAM,c3r16c2_5,1
EAM,c3r16c2_6,1
EAM,c3r16c2_7,1
EAM,c3r16c2_8,1
EAM,c3r16c2_9,1
EAM,c3r16c3,1
EAM,c3r16c3_10,1
EAM,c3r16c3_11,1
EAM,c3r16c3_12,1
EAM,c3r16c3_13,1
EAM,c3r16c3_14,1
EAM,c3r16c3_15,1
EAM,c3r16c3_16,1
EAM,c3r16c3_17,1
EAM,c3r16c3_18,1
EAM,c3r16c3_19,1
EAM,c3r16c3_2,1
EAM,c3r16c3_20,1
EAM,c3r16c3_21,1
EAM,c3r16c3_22,1
EAM,c3r16c3_23,1
EAM,c3r16c3_24,1
EAM,c3r16c3_25,1
EAM,c3r16c3_26,1
EAM,c3r16c3_27,1
EAM,c3r16c3_28,1
EAM,c3r16c3_29,1
EAM,c3r16c3_3,1
EAM,c3r16c3_30,1
EAM,c3r16c3_31,1
EAM,c3r16c3_32,1
EAM,c3r16c3_33,1
EAM,c3r16c3_34,1
EAM,c3r16c3_35,1
EAM,c3r16c3_36,1
EAM,c3r16c3_37,1
EAM,c3r16c3_38,1
EAM,c3r16c3_39,1
EAM,c3r16c3_4,1
EAM,c3r16c3_40,1
EAM,c3r16c3_41,1
EAM,c3r16c3_42,1
EAM,c3r16c3_5,1
EAM,c3r16c3_6,1
EAM,c3r16c3_7,1
EAM,c3r16c3_8,1
EAM,c3r16c3_9,1
EAM,c3r17c1,1
EAM,c3r17c1_10,1
EAM,c3r17c1_11,1
EAM,c3r17c1_12,1
EAM,c3r17c1_13,1
EAM,c3r17c1_14,1
EAM,c3r17c1_15,1
EAM,c3r17c1_16,1
EAM,c3r17c1_17,1
EAM,c3r17c1_18,1
EAM,c3r17c1_19,1
EAM,c3r17c1_2,1
EAM,c3r17c1_20,1
EAM,c3r17c1_21,1
EAM,c3r17c1_22,1
EAM,c3r17c1_23,1
EAM,c3r17c1_24,1
EAM,c3r17c1_25,1
EAM,c3r17c1_26,1
EAM,c3r17c1_27,1
EAM,c3r17c1_28,1
EAM,c3r17c1_29,1
EAM,c3r17c1_3,1
EAM,c3r17c1_30,1
EAM,c3r17c1_31,1
EAM,c3r17c1_32,1
EAM,c3r17c1_33,1
EAM,c3r17c1_34,1
EAM,c3r17c1_35,1
EAM,c3r17c1_36,1
EAM,c3r17c1_37,1
EAM,c3r17c1_38,1
EAM,c3r17c1_39,1
EAM,c3r17c1_4,1
EAM,c3r17c1_40,1
EAM,c3r17c1_41,1
EAM,c3r17c1_42,1
EAM,c3r17c1_5,1
EAM,c3r17c1_6,1
EAM,c3r17c1_7,1
EAM,c3r17c1_8,1
EAM,c3r17c1_9,1
EAM,c3r17c2,1
EAM,c3r17c2_10,1
EAM,c3r17c2_11,1
EAM,c3r17c2_12,1
EAM,c3r17c2_13,1
EAM,c3r17c2_14,1
EAM,c3r17c2_15,1
EAM,c3r17c2_16,1
EAM,c3r17c2_17,1
EAM,c3r17c2_18,1
EAM,c3r17c2_19,1
EAM,c3r17c2_2,1
EAM,c3r17c2_20,1
EAM,c3r17c2_21,1
EAM,c3r17c2_22,1
EAM,c3r17c2_23,1
EAM,c3r17c2_24,1
EAM,c3r17c2_25,1
EAM,c3r17c2_26,1
EAM,c3r17c2_27,1
EAM,c3r17c2_28,1
EAM,c3r17c2_29,1
EAM,c3r17c2_3,1
EAM,c3r17c2_30,1
EAM,c3r17c2_31,1
EAM,c3r17c2_32,1
EAM,c3r17c2_33,1
EAM,c3r17c2_34,1
EAM,c3r17c2_35,1
EAM,c3r17c2_36,1
EAM,c3r17c2_37,1
EAM,c3r17c2_38,1
EAM,c3r17c2_39,1
EAM,c3r17c2_4,1
EAM,c3r17c2_40,1
EAM,c3r17c2_41,1
EAM,c3r17c2_42,1
EAM,c3r17c2_5,1
EAM,c3r17c2_6,1
EAM,c3r17c2_7,1
EAM,c3r17c2_8,1
EAM,c3r17c2_9,1
